user_id,movie_id,rating,predicted_rating
1,2899,5.0,4.31
1,2916,4.0,4.31
1,2944,5.0,4.41
1,2947,5.0,4.44
1,2948,5.0,4.24
1,2949,5.0,4.35
1,2959,5.0,4.9
1,2985,4.0,4.15
1,2987,5.0,4.34
1,2991,5.0,4.24
1,2993,5.0,4.34
1,2997,4.0,4.78
1,3033,5.0,4.25
1,3034,5.0,4.32
1,3052,5.0,4.32
1,3053,5.0,4.3
1,3062,4.0,4.37
1,3147,5.0,4.72
1,3168,4.0,4.28
1,3176,1.0,4.15
1,3243,3.0,4.28
1,3247,3.0,4.27
1,3253,5.0,4.13
1,3273,5.0,4.27
1,3386,5.0,4.29
1,3439,4.0,4.17
1,3440,4.0,4.26
1,3441,5.0,4.33
1,3448,5.0,4.39
1,3450,5.0,4.26
1,3479,4.0,4.4
1,3489,4.0,4.34
1,3527,4.0,4.43
1,3578,5.0,4.97
1,3617,4.0,4.05
1,3639,4.0,4.38
1,3671,5.0,4.46
1,3702,5.0,4.36
1,3703,5.0,4.45
1,3729,5.0,4.31
1,3740,4.0,4.37
1,3744,4.0,4.26
1,3793,5.0,4.59
1,3809,4.0,4.18
1,4006,4.0,4.37
1,5060,5.0,4.37
