User0,User1,User2,User3,SL item đánh giá chung
291.0,492.0,429.0,133.0,1.0
91.0,429.0,11.0,207.0,1.0
367.0,124.0,160.0,256.0,1.0
186.0,533.0,348.0,37.0,3.0
514.0,4.0,67.0,148.0,1.0
310.0,439.0,120.0,525.0,2.0
566.0,348.0,390.0,17.0,0.0
87.0,225.0,55.0,30.0,0.0
585.0,214.0,353.0,167.0,0.0
120.0,75.0,103.0,282.0,0.0
451.0,252.0,179.0,85.0,4.0
284.0,15.0,603.0,391.0,0.0
463.0,638.0,552.0,274.0,3.0
159.0,12.0,100.0,549.0,1.0
215.0,175.0,544.0,611.0,1.0
252.0,194.0,515.0,294.0,0.0
98.0,559.0,533.0,143.0,1.0
305.0,161.0,330.0,216.0,3.0
373.0,22.0,140.0,271.0,2.0
42.0,439.0,12.0,189.0,3.0
597.0,157.0,507.0,140.0,0.0
186.0,315.0,16.0,511.0,1.0
609.0,566.0,136.0,363.0,3.0
447.0,366.0,312.0,154.0,1.0
643.0,135.0,617.0,263.0,3.0
51.0,286.0,507.0,463.0,1.0
490.0,201.0,276.0,627.0,0.0
290.0,417.0,410.0,353.0,1.0
275.0,384.0,358.0,371.0,1.0
499.0,53.0,203.0,458.0,1.0
288.0,296.0,209.0,114.0,0.0
633.0,349.0,57.0,38.0,2.0
461.0,294.0,540.0,66.0,1.0
129.0,259.0,340.0,22.0,1.0
187.0,588.0,192.0,113.0,1.0
304.0,191.0,107.0,75.0,1.0
57.0,161.0,604.0,27.0,0.0
508.0,384.0,473.0,514.0,1.0
79.0,173.0,28.0,538.0,3.0
161.0,391.0,89.0,478.0,1.0
575.0,564.0,605.0,112.0,0.0
36.0,377.0,277.0,515.0,1.0
99.0,485.0,382.0,371.0,1.0
182.0,627.0,71.0,349.0,0.0
204.0,229.0,33.0,513.0,1.0
84.0,586.0,377.0,591.0,0.0
185.0,523.0,84.0,94.0,3.0
609.0,594.0,301.0,494.0,0.0
245.0,439.0,340.0,611.0,3.0
586.0,240.0,107.0,265.0,1.0
447.0,263.0,389.0,188.0,1.0
654.0,228.0,265.0,660.0,0.0
170.0,463.0,406.0,16.0,1.0
383.0,432.0,563.0,386.0,0.0
272.0,577.0,382.0,545.0,2.0
225.0,527.0,372.0,564.0,1.0
509.0,63.0,525.0,435.0,1.0
272.0,542.0,601.0,635.0,1.0
353.0,216.0,236.0,312.0,2.0
250.0,8.0,486.0,511.0,0.0
63.0,235.0,533.0,397.0,0.0
648.0,4.0,539.0,31.0,2.0
551.0,27.0,174.0,237.0,0.0
632.0,489.0,142.0,128.0,3.0
547.0,345.0,621.0,252.0,3.0
102.0,408.0,278.0,50.0,0.0
558.0,26.0,379.0,436.0,1.0
129.0,638.0,46.0,620.0,1.0
132.0,536.0,296.0,506.0,1.0
449.0,444.0,612.0,189.0,3.0
255.0,72.0,229.0,204.0,6.0
417.0,229.0,39.0,231.0,1.0
85.0,540.0,635.0,524.0,4.0
28.0,580.0,63.0,471.0,1.0
75.0,38.0,366.0,495.0,1.0
201.0,454.0,586.0,641.0,1.0
323.0,226.0,161.0,589.0,0.0
238.0,597.0,283.0,385.0,1.0
266.0,319.0,311.0,516.0,1.0
549.0,27.0,51.0,206.0,0.0
83.0,65.0,361.0,371.0,3.0
34.0,653.0,234.0,546.0,0.0
17.0,147.0,151.0,245.0,1.0
301.0,493.0,470.0,364.0,1.0
369.0,275.0,616.0,250.0,1.0
42.0,646.0,92.0,499.0,1.0
270.0,253.0,378.0,60.0,1.0
109.0,636.0,372.0,184.0,3.0
163.0,101.0,177.0,223.0,0.0
556.0,659.0,353.0,7.0,0.0
643.0,305.0,317.0,125.0,0.0
214.0,233.0,430.0,364.0,0.0
238.0,125.0,56.0,631.0,2.0
583.0,602.0,445.0,632.0,2.0
384.0,313.0,182.0,363.0,1.0
404.0,416.0,533.0,175.0,0.0
640.0,203.0,105.0,596.0,1.0
622.0,267.0,266.0,455.0,0.0
411.0,9.0,322.0,71.0,0.0
420.0,14.0,296.0,443.0,0.0
20.0,56.0,385.0,199.0,1.0
240.0,408.0,306.0,405.0,1.0
367.0,554.0,21.0,649.0,2.0
655.0,606.0,561.0,599.0,1.0
160.0,280.0,513.0,224.0,2.0
321.0,190.0,376.0,124.0,2.0
433.0,267.0,299.0,390.0,2.0
590.0,547.0,135.0,438.0,4.0
422.0,657.0,500.0,75.0,0.0
656.0,623.0,626.0,140.0,1.0
205.0,303.0,395.0,90.0,2.0
220.0,119.0,276.0,461.0,1.0
623.0,499.0,511.0,471.0,2.0
372.0,594.0,184.0,460.0,1.0
377.0,420.0,561.0,184.0,1.0
56.0,265.0,509.0,568.0,0.0
108.0,101.0,660.0,332.0,1.0
83.0,75.0,369.0,475.0,0.0
590.0,263.0,454.0,142.0,3.0
599.0,423.0,188.0,597.0,3.0
37.0,357.0,435.0,627.0,0.0
258.0,5.0,126.0,470.0,1.0
594.0,67.0,510.0,143.0,2.0
598.0,34.0,249.0,280.0,1.0
29.0,550.0,516.0,285.0,1.0
41.0,205.0,395.0,650.0,0.0
70.0,551.0,567.0,231.0,3.0
174.0,266.0,653.0,491.0,0.0
53.0,596.0,461.0,352.0,0.0
345.0,410.0,131.0,543.0,1.0
568.0,263.0,612.0,594.0,0.0
440.0,229.0,188.0,614.0,1.0
57.0,15.0,302.0,472.0,1.0
532.0,294.0,615.0,493.0,0.0
142.0,509.0,598.0,320.0,1.0
552.0,192.0,30.0,241.0,2.0
140.0,6.0,330.0,421.0,0.0
149.0,517.0,361.0,319.0,0.0
216.0,119.0,40.0,202.0,0.0
212.0,284.0,544.0,44.0,1.0
73.0,139.0,158.0,437.0,1.0
360.0,75.0,224.0,40.0,4.0
139.0,4.0,482.0,169.0,1.0
159.0,10.0,405.0,312.0,0.0
561.0,606.0,660.0,628.0,1.0
221.0,169.0,459.0,49.0,1.0
398.0,166.0,108.0,436.0,2.0
101.0,252.0,637.0,31.0,3.0
605.0,319.0,621.0,204.0,2.0
373.0,226.0,229.0,526.0,2.0
657.0,501.0,656.0,124.0,0.0
586.0,264.0,318.0,366.0,1.0
585.0,428.0,424.0,606.0,1.0
292.0,179.0,546.0,266.0,1.0
634.0,397.0,330.0,408.0,2.0
18.0,373.0,536.0,360.0,0.0
353.0,467.0,60.0,137.0,2.0
512.0,625.0,495.0,511.0,0.0
265.0,44.0,587.0,101.0,3.0
487.0,603.0,631.0,545.0,1.0
54.0,20.0,214.0,100.0,2.0
334.0,600.0,594.0,316.0,1.0
127.0,578.0,583.0,435.0,0.0
165.0,499.0,395.0,410.0,3.0
592.0,238.0,132.0,18.0,2.0
634.0,197.0,536.0,399.0,3.0
433.0,586.0,531.0,157.0,0.0
178.0,132.0,640.0,610.0,3.0
434.0,432.0,595.0,125.0,3.0
515.0,417.0,616.0,319.0,0.0
94.0,198.0,436.0,114.0,0.0
442.0,269.0,456.0,172.0,1.0
486.0,295.0,252.0,106.0,4.0
294.0,104.0,364.0,550.0,1.0
192.0,479.0,165.0,443.0,1.0
570.0,14.0,151.0,578.0,3.0
234.0,648.0,350.0,543.0,2.0
40.0,246.0,445.0,186.0,1.0
241.0,363.0,75.0,277.0,1.0
381.0,24.0,567.0,550.0,1.0
221.0,628.0,546.0,109.0,1.0
642.0,583.0,559.0,87.0,0.0
391.0,335.0,386.0,514.0,2.0
136.0,163.0,564.0,620.0,0.0
451.0,4.0,108.0,483.0,5.0
182.0,497.0,344.0,400.0,1.0
98.0,450.0,445.0,660.0,0.0
41.0,641.0,229.0,490.0,1.0
175.0,79.0,654.0,330.0,0.0
470.0,199.0,548.0,248.0,1.0
280.0,189.0,198.0,398.0,1.0
293.0,394.0,121.0,215.0,1.0
501.0,578.0,323.0,132.0,2.0
193.0,457.0,651.0,438.0,1.0
231.0,505.0,426.0,213.0,2.0
561.0,9.0,212.0,461.0,2.0
104.0,564.0,254.0,643.0,3.0
651.0,55.0,550.0,67.0,0.0
296.0,540.0,14.0,297.0,1.0
638.0,454.0,565.0,357.0,1.0
149.0,322.0,273.0,9.0,0.0
72.0,237.0,226.0,36.0,1.0
203.0,604.0,606.0,428.0,1.0
113.0,324.0,80.0,516.0,1.0
72.0,64.0,438.0,457.0,2.0
552.0,409.0,181.0,71.0,3.0
210.0,405.0,7.0,94.0,0.0
589.0,5.0,600.0,619.0,1.0
192.0,585.0,106.0,525.0,1.0
199.0,201.0,420.0,414.0,2.0
417.0,62.0,254.0,6.0,1.0
340.0,205.0,345.0,108.0,0.0
116.0,218.0,38.0,464.0,1.0
481.0,450.0,24.0,40.0,0.0
200.0,523.0,50.0,146.0,1.0
655.0,316.0,645.0,258.0,2.0
331.0,50.0,188.0,617.0,3.0
652.0,71.0,236.0,209.0,0.0
482.0,401.0,87.0,506.0,2.0
610.0,414.0,392.0,640.0,2.0
528.0,609.0,132.0,185.0,2.0
170.0,298.0,257.0,494.0,0.0
468.0,586.0,635.0,293.0,2.0
58.0,568.0,591.0,472.0,1.0
543.0,390.0,402.0,379.0,0.0
204.0,430.0,71.0,283.0,1.0
428.0,190.0,591.0,574.0,1.0
347.0,18.0,628.0,593.0,0.0
338.0,268.0,108.0,448.0,3.0
384.0,94.0,653.0,162.0,2.0
66.0,73.0,394.0,611.0,3.0
239.0,493.0,576.0,538.0,0.0
644.0,639.0,68.0,209.0,0.0
636.0,610.0,529.0,241.0,0.0
535.0,549.0,508.0,108.0,2.0
451.0,318.0,264.0,74.0,0.0
497.0,277.0,169.0,554.0,1.0
554.0,53.0,551.0,219.0,0.0
474.0,521.0,487.0,64.0,1.0
256.0,159.0,244.0,451.0,0.0
341.0,33.0,561.0,415.0,2.0
365.0,165.0,653.0,53.0,1.0
507.0,40.0,510.0,157.0,1.0
456.0,144.0,208.0,609.0,1.0
509.0,457.0,608.0,70.0,0.0
328.0,207.0,461.0,192.0,1.0
120.0,126.0,259.0,105.0,1.0
390.0,482.0,645.0,48.0,1.0
209.0,77.0,570.0,481.0,2.0
107.0,619.0,249.0,29.0,1.0
268.0,4.0,185.0,189.0,3.0
401.0,439.0,589.0,14.0,0.0
259.0,281.0,82.0,570.0,0.0
432.0,211.0,308.0,46.0,2.0
258.0,303.0,472.0,527.0,1.0
93.0,319.0,561.0,511.0,0.0
378.0,55.0,420.0,450.0,4.0
102.0,548.0,231.0,648.0,2.0
226.0,648.0,565.0,39.0,1.0
246.0,361.0,614.0,405.0,1.0
18.0,377.0,568.0,581.0,0.0
612.0,432.0,191.0,147.0,0.0
514.0,259.0,515.0,571.0,0.0
225.0,588.0,125.0,555.0,2.0
629.0,44.0,574.0,328.0,1.0
54.0,169.0,194.0,434.0,0.0
568.0,199.0,190.0,109.0,3.0
430.0,141.0,153.0,570.0,0.0
276.0,595.0,486.0,344.0,1.0
244.0,364.0,425.0,465.0,3.0
348.0,85.0,277.0,278.0,1.0
203.0,516.0,389.0,27.0,3.0
125.0,424.0,558.0,507.0,3.0
12.0,167.0,629.0,124.0,2.0
169.0,173.0,63.0,289.0,2.0
114.0,28.0,497.0,464.0,0.0
457.0,229.0,575.0,53.0,4.0
657.0,606.0,400.0,254.0,0.0
618.0,265.0,340.0,135.0,1.0
7.0,71.0,354.0,155.0,3.0
237.0,90.0,286.0,639.0,0.0
8.0,51.0,577.0,565.0,3.0
225.0,434.0,330.0,338.0,2.0
476.0,440.0,142.0,109.0,4.0
395.0,362.0,188.0,187.0,1.0
179.0,474.0,299.0,530.0,2.0
477.0,43.0,70.0,275.0,1.0
269.0,461.0,386.0,80.0,0.0
340.0,25.0,6.0,85.0,0.0
31.0,428.0,106.0,507.0,1.0
104.0,246.0,300.0,632.0,0.0
469.0,181.0,419.0,113.0,0.0
48.0,490.0,117.0,263.0,2.0
229.0,433.0,351.0,42.0,1.0
238.0,423.0,272.0,147.0,2.0
97.0,193.0,640.0,501.0,3.0
480.0,615.0,144.0,286.0,0.0
566.0,598.0,476.0,282.0,2.0
548.0,212.0,660.0,119.0,0.0
105.0,256.0,329.0,607.0,2.0
560.0,12.0,295.0,155.0,2.0
363.0,579.0,425.0,452.0,1.0
291.0,200.0,149.0,640.0,1.0
324.0,478.0,389.0,451.0,1.0
328.0,241.0,609.0,571.0,0.0
604.0,658.0,527.0,135.0,2.0
44.0,415.0,163.0,274.0,2.0
92.0,305.0,654.0,600.0,1.0
255.0,150.0,1.0,266.0,4.0
468.0,52.0,541.0,615.0,1.0
33.0,440.0,12.0,424.0,2.0
490.0,109.0,51.0,80.0,2.0
483.0,195.0,432.0,91.0,2.0
192.0,468.0,437.0,521.0,0.0
602.0,226.0,414.0,207.0,2.0
510.0,160.0,34.0,497.0,0.0
606.0,647.0,143.0,51.0,3.0
385.0,420.0,96.0,644.0,3.0
649.0,654.0,76.0,588.0,2.0
257.0,109.0,412.0,614.0,0.0
95.0,100.0,208.0,306.0,3.0
432.0,600.0,111.0,162.0,1.0
457.0,495.0,535.0,627.0,1.0
508.0,280.0,58.0,542.0,0.0
27.0,30.0,368.0,580.0,1.0
592.0,28.0,267.0,53.0,1.0
263.0,385.0,383.0,273.0,1.0
433.0,500.0,598.0,573.0,1.0
199.0,399.0,202.0,468.0,2.0
450.0,6.0,589.0,361.0,2.0
133.0,333.0,611.0,536.0,0.0
464.0,623.0,379.0,77.0,1.0
9.0,13.0,427.0,538.0,2.0
22.0,345.0,541.0,86.0,0.0
336.0,231.0,240.0,448.0,4.0
73.0,600.0,393.0,335.0,3.0
297.0,408.0,543.0,354.0,2.0
261.0,191.0,543.0,560.0,0.0
98.0,49.0,148.0,7.0,1.0
91.0,73.0,582.0,498.0,1.0
163.0,111.0,56.0,257.0,1.0
54.0,311.0,478.0,620.0,0.0
109.0,337.0,464.0,197.0,1.0
586.0,649.0,502.0,249.0,3.0
14.0,619.0,75.0,635.0,1.0
462.0,438.0,64.0,12.0,2.0
525.0,457.0,509.0,606.0,0.0
6.0,163.0,328.0,126.0,1.0
53.0,73.0,307.0,579.0,1.0
546.0,149.0,252.0,430.0,1.0
169.0,426.0,403.0,66.0,0.0
222.0,656.0,173.0,84.0,2.0
494.0,43.0,309.0,529.0,1.0
254.0,24.0,276.0,159.0,1.0
612.0,409.0,494.0,274.0,3.0
21.0,420.0,388.0,68.0,0.0
388.0,289.0,543.0,158.0,0.0
211.0,188.0,29.0,409.0,0.0
625.0,473.0,11.0,490.0,0.0
405.0,501.0,376.0,620.0,2.0
508.0,165.0,441.0,71.0,1.0
609.0,192.0,590.0,292.0,2.0
327.0,320.0,640.0,58.0,2.0
579.0,348.0,631.0,238.0,1.0
283.0,241.0,274.0,655.0,1.0
209.0,44.0,91.0,160.0,2.0
308.0,250.0,70.0,644.0,0.0
603.0,562.0,91.0,19.0,3.0
586.0,173.0,492.0,421.0,1.0
296.0,137.0,40.0,109.0,1.0
115.0,431.0,628.0,424.0,0.0
414.0,205.0,650.0,614.0,0.0
226.0,441.0,437.0,161.0,2.0
326.0,628.0,320.0,245.0,0.0
266.0,14.0,529.0,104.0,0.0
399.0,254.0,273.0,563.0,1.0
109.0,440.0,224.0,145.0,1.0
323.0,155.0,274.0,209.0,1.0
34.0,103.0,471.0,467.0,1.0
580.0,142.0,236.0,171.0,1.0
566.0,468.0,608.0,557.0,1.0
315.0,178.0,22.0,20.0,0.0
169.0,101.0,75.0,510.0,0.0
508.0,543.0,520.0,235.0,0.0
524.0,216.0,364.0,152.0,0.0
419.0,574.0,634.0,642.0,0.0
324.0,79.0,277.0,91.0,1.0
166.0,513.0,521.0,617.0,5.0
633.0,293.0,517.0,207.0,2.0
495.0,268.0,562.0,295.0,2.0
181.0,231.0,420.0,326.0,1.0
164.0,113.0,64.0,215.0,0.0
583.0,499.0,468.0,461.0,3.0
658.0,470.0,564.0,162.0,0.0
153.0,643.0,64.0,586.0,0.0
439.0,49.0,566.0,292.0,0.0
352.0,220.0,296.0,402.0,0.0
162.0,410.0,8.0,492.0,1.0
23.0,442.0,587.0,354.0,0.0
387.0,190.0,649.0,544.0,0.0
376.0,252.0,103.0,275.0,1.0
68.0,470.0,457.0,468.0,0.0
266.0,494.0,388.0,538.0,1.0
547.0,525.0,113.0,593.0,3.0
584.0,475.0,596.0,248.0,2.0
569.0,347.0,369.0,255.0,0.0
508.0,493.0,152.0,83.0,0.0
497.0,437.0,511.0,299.0,1.0
38.0,24.0,333.0,256.0,3.0
63.0,84.0,652.0,400.0,0.0
192.0,506.0,436.0,36.0,1.0
33.0,280.0,31.0,338.0,2.0
313.0,153.0,52.0,50.0,0.0
648.0,31.0,191.0,335.0,1.0
179.0,626.0,294.0,516.0,1.0
275.0,165.0,621.0,322.0,3.0
535.0,567.0,230.0,123.0,2.0
311.0,207.0,450.0,455.0,1.0
269.0,530.0,37.0,507.0,4.0
573.0,499.0,656.0,29.0,0.0
151.0,481.0,460.0,76.0,2.0
134.0,520.0,142.0,138.0,0.0
587.0,467.0,651.0,608.0,0.0
548.0,214.0,213.0,601.0,0.0
74.0,229.0,394.0,219.0,1.0
336.0,399.0,500.0,203.0,1.0
6.0,368.0,336.0,92.0,1.0
93.0,318.0,236.0,105.0,3.0
198.0,586.0,435.0,401.0,0.0
117.0,385.0,529.0,486.0,0.0
169.0,320.0,80.0,622.0,0.0
534.0,479.0,436.0,437.0,0.0
282.0,127.0,537.0,410.0,0.0
519.0,42.0,135.0,415.0,2.0
209.0,25.0,195.0,334.0,4.0
627.0,418.0,327.0,403.0,4.0
81.0,656.0,217.0,26.0,0.0
366.0,237.0,80.0,300.0,1.0
488.0,500.0,539.0,274.0,0.0
363.0,291.0,84.0,264.0,2.0
570.0,401.0,288.0,118.0,1.0
15.0,482.0,545.0,125.0,2.0
564.0,16.0,407.0,11.0,2.0
41.0,156.0,634.0,34.0,1.0
610.0,491.0,418.0,49.0,0.0
322.0,200.0,492.0,238.0,3.0
109.0,360.0,89.0,296.0,0.0
351.0,86.0,514.0,608.0,1.0
68.0,357.0,590.0,543.0,1.0
77.0,292.0,224.0,587.0,3.0
627.0,528.0,166.0,330.0,2.0
360.0,589.0,106.0,46.0,1.0
269.0,75.0,8.0,638.0,1.0
166.0,112.0,147.0,597.0,0.0
182.0,76.0,127.0,360.0,2.0
473.0,513.0,198.0,159.0,0.0
119.0,416.0,252.0,540.0,0.0
248.0,166.0,560.0,265.0,3.0
18.0,459.0,595.0,215.0,0.0
330.0,217.0,275.0,222.0,0.0
188.0,378.0,122.0,539.0,2.0
17.0,661.0,242.0,286.0,2.0
569.0,628.0,175.0,408.0,0.0
373.0,429.0,285.0,144.0,0.0
148.0,180.0,485.0,122.0,1.0
207.0,601.0,449.0,654.0,1.0
99.0,136.0,610.0,574.0,1.0
525.0,541.0,507.0,176.0,0.0
568.0,186.0,433.0,467.0,0.0
21.0,23.0,11.0,358.0,1.0
374.0,608.0,359.0,189.0,3.0
636.0,601.0,113.0,390.0,2.0
466.0,571.0,520.0,579.0,0.0
66.0,306.0,361.0,217.0,1.0
404.0,468.0,442.0,281.0,2.0
520.0,587.0,471.0,358.0,3.0
552.0,261.0,157.0,351.0,2.0
142.0,159.0,324.0,356.0,3.0
142.0,308.0,143.0,231.0,0.0
134.0,287.0,479.0,549.0,0.0
262.0,467.0,364.0,520.0,2.0
5.0,256.0,395.0,42.0,1.0
318.0,176.0,442.0,171.0,0.0
557.0,334.0,393.0,180.0,1.0
116.0,606.0,147.0,149.0,2.0
33.0,555.0,526.0,365.0,0.0
187.0,418.0,603.0,625.0,1.0
278.0,167.0,235.0,565.0,0.0
114.0,274.0,371.0,143.0,1.0
614.0,548.0,374.0,49.0,1.0
186.0,528.0,311.0,634.0,2.0
598.0,294.0,156.0,660.0,1.0
305.0,336.0,351.0,655.0,0.0
154.0,330.0,587.0,256.0,2.0
138.0,368.0,641.0,189.0,3.0
4.0,557.0,454.0,356.0,2.0
599.0,174.0,390.0,185.0,0.0
72.0,504.0,121.0,546.0,0.0
616.0,446.0,370.0,655.0,1.0
380.0,276.0,99.0,493.0,4.0
406.0,359.0,372.0,310.0,1.0
186.0,195.0,605.0,594.0,0.0
564.0,204.0,350.0,340.0,1.0
646.0,383.0,354.0,369.0,1.0
39.0,212.0,655.0,384.0,1.0
599.0,17.0,299.0,101.0,1.0
497.0,319.0,175.0,416.0,2.0
21.0,391.0,223.0,332.0,1.0
449.0,445.0,649.0,623.0,1.0
534.0,230.0,27.0,594.0,2.0
553.0,296.0,399.0,522.0,1.0
361.0,292.0,212.0,328.0,0.0
467.0,33.0,607.0,329.0,5.0
273.0,349.0,619.0,421.0,2.0
343.0,425.0,459.0,450.0,0.0
586.0,644.0,23.0,129.0,2.0
163.0,557.0,257.0,619.0,1.0
313.0,627.0,184.0,133.0,2.0
441.0,438.0,428.0,320.0,3.0
205.0,271.0,228.0,419.0,4.0
355.0,331.0,513.0,34.0,0.0
236.0,184.0,543.0,601.0,0.0
390.0,458.0,23.0,205.0,0.0
548.0,190.0,645.0,660.0,2.0
566.0,188.0,463.0,502.0,1.0
247.0,475.0,340.0,243.0,0.0
224.0,560.0,260.0,275.0,2.0
454.0,390.0,215.0,185.0,1.0
255.0,368.0,70.0,471.0,0.0
549.0,235.0,554.0,582.0,0.0
433.0,422.0,643.0,155.0,1.0
31.0,235.0,497.0,226.0,0.0
599.0,107.0,275.0,185.0,0.0
393.0,92.0,543.0,375.0,1.0
244.0,514.0,403.0,232.0,1.0
160.0,585.0,283.0,406.0,1.0
618.0,212.0,339.0,368.0,0.0
380.0,95.0,506.0,305.0,3.0
574.0,434.0,421.0,366.0,3.0
33.0,541.0,178.0,136.0,1.0
16.0,341.0,1.0,11.0,1.0
487.0,151.0,660.0,86.0,4.0
558.0,120.0,402.0,169.0,2.0
172.0,276.0,68.0,369.0,2.0
423.0,216.0,369.0,642.0,2.0
125.0,129.0,156.0,353.0,2.0
421.0,332.0,627.0,24.0,1.0
591.0,646.0,424.0,299.0,0.0
380.0,364.0,262.0,416.0,2.0
